Workload_ID,    App_ID,SubmitTime,Pr:StartTime,Pr:EndTime,Pr:CPUTime,   Pr:Size,Tr:StartTime,Tr:EndTime,Tr:NetworkTime,   Tr:Size,Tr:Channel,Pr:StartTime,Pr:EndTime,Pr:CPUTime,   Pr:Size,ResponseTime,
 96, 0, 16.074, 16.074, 16.121, 0.047, 104, 16.121, 26.148, 10.028, 1957, 2,TimeOut
 141, 0, 23.653, 23.653, 23.791, 0.138, 242, 23.791, 26.14, 2.349, 1293, 2, 26.14, 26.151, 0.011, 31,     2.498,
 149, 0, 25.501, 25.501, 25.544, 0.044, 92, 25.544, 26.252, 0.708, 1593, 2, 26.252, 26.265, 0.013, 26,     0.764,
 135, 0, 22.167, 22.167, 22.177, 0.01, 20, 22.177, 26.347, 4.17, 1049, 2, 26.347, 26.385, 0.038, 76,     4.218,
 146, 0, 24.065, 24.065, 24.284, 0.22, 250, 24.284, 26.389, 2.105, 1484, 2, 26.389, 26.413, 0.023, 55,     2.348,
 97, 0, 16.269, 16.269, 16.419, 0.15, 316, 16.419, 26.442, 10.023, 1350, 2,TimeOut
 99, 0, 16.434, 16.434, 16.591, 0.157, 4, 16.591, 26.605, 10.014, 1311, 2,TimeOut
 101, 0, 16.63, 16.63, 16.707, 0.078, 136, 16.707, 26.729, 10.022, 1155, 2,TimeOut
 137, 0, 22.758, 22.758, 22.765, 0.007, 14, 22.765, 26.846, 4.082, 1430, 2, 26.846, 26.912, 0.066, 117,     4.155,
 150, 0, 26.092, 26.092, 26.162, 0.07, 141, 26.162, 26.882, 0.72, 1419, 2, 26.882, 27.118, 0.236, 472,     1.027,
 95, 0, 15.927, 15.927, 16.049, 0.122, 239, 16.049, 27.152, 11.104, 1131, 2, 27.152, 27.162, 0.01, 8,    11.235,
 154, 0, 26.401, 26.401, 26.496, 0.095, 45, 26.496, 27.232, 0.737, 1605, 2, 27.232, 27.307, 0.075, 150,     0.907,
 131, 0, 21.336, 21.336, 23.382, 2.046, 4079, 23.382, 27.346, 3.964, 1316, 2, 27.346, 27.523, 0.177, 334,     6.187,
 151, 0, 26.132, 26.132, 26.578, 0.447, 894, 26.578, 27.668, 1.089, 1404, 2, 27.668, 27.704, 0.036, 72,     1.572,
 153, 0, 26.377, 26.377, 26.462, 0.085, 145, 26.462, 27.744, 1.282, 1830, 2, 27.744, 27.783, 0.04, 79,     1.407,
 156, 0, 26.933, 26.933, 26.963, 0.03, 33, 26.963, 27.793, 0.829, 1451, 2, 27.793, 27.86, 0.067, 149,     0.926,
